game_number,date,goal_word,bot_solved,num_guesses,guess1,guess1_state,guess2,guess2_state,guess3,guess3_state,guess4,guess4_state,guess5,guess5_state,guess6,guess6_state
1,2021-06-19,cigar,True,4,balky,?y???,irate,yyy??,dinar,?g?gg,cigar,ggggg,,,,
2,2021-06-20,rebut,True,3,balky,y????,tribe,yy?yy,rebut,ggggg,,,,,,
3,2021-06-21,sissy,True,5,balky,????g,deity,??y?g,finny,?g??g,mimsy,?g?gg,sissy,ggggg,,
4,2021-06-22,humph,True,4,balky,?????,noire,?????,tutus,?g?y?,humph,ggggg,,,,
5,2021-06-23,awake,True,4,balky,?y?g?,peaks,?ygg?,drake,??ggg,awake,ggggg,,,,
6,2021-06-24,blush,True,4,balky,g?y??,boils,g??yy,blest,gg?g?,blush,ggggg,,,,
7,2021-06-25,focal,True,6,balky,?yy??,alert,yy???,snail,??y?g,ducal,??ggg,local,ygggg,focal,ggggg
8,2021-06-26,evade,True,5,balky,?y???,irate,??g?g,cease,?yg?g,phage,??g?g,evade,ggggg,,
9,2021-06-27,naval,True,6,balky,?gy??,carol,?g??g,panel,?gy?g,natal,gg?gg,nasal,gg?gg,naval,ggggg
10,2021-06-28,serve,True,6,balky,?????,noire,???yg,cruse,?y?yg,spree,g?gyg,serge,ggg?g,serve,ggggg
11,2021-06-29,heath,True,6,balky,?y???,irate,??ggy,feats,?ggg?,neato,?ggg?,death,?gggg,heath,ggggg
12,2021-06-30,dwarf,True,4,balky,?y???,irate,?yg??,chard,??ggy,dwarf,ggggg,,,,
13,2021-07-01,model,True,4,balky,??y??,liter,y??g?,elves,yy?g?,model,ggggg,,,,
14,2021-07-02,karma,True,3,balky,?g?y?,karat,gggy?,karma,ggggg,,,,,,
15,2021-07-03,stink,True,4,balky,???y?,inker,yyy??,skint,gyggy,stink,ggggg,,,,
16,2021-07-04,grade,True,4,balky,?y???,irate,?gg?g,crane,?gg?g,grade,ggggg,,,,
17,2021-07-05,quiet,True,6,balky,?????,noire,??g?y,chief,??gg?,spies,??gg?,ivied,y?gg?,quiet,ggggg
18,2021-07-06,bench,True,4,balky,g????,bocce,g?ygy,beech,ggygg,bench,ggggg,,,,
19,2021-07-07,abate,True,3,balky,yy???,rebar,?yyy?,abate,ggggg,,,,,,
20,2021-07-08,feign,True,4,balky,?????,noire,y?g?y,feint,gggy?,feign,ggggg,,,,
21,2021-07-09,major,True,4,balky,?g???,carat,?gyy?,manor,gg?gg,major,ggggg,,,,
22,2021-07-10,death,True,5,balky,?y???,irate,??ggy,feats,?ggg?,neato,?ggg?,death,ggggg,,
23,2021-07-11,fresh,True,5,balky,?????,noire,???yy,crest,?ggg?,dress,?gggy,fresh,ggggg,,
24,2021-07-12,crust,True,5,balky,?????,noire,???y?,strut,yyyyg,trust,ygggg,crust,ggggg,,
25,2021-07-13,stool,True,3,balky,??y??,liter,y?y??,stool,ggggg,,,,,,
26,2021-07-14,colon,True,4,balky,??g??,cills,g?gy?,color,gggg?,colon,ggggg,,,,
27,2021-07-15,abase,True,4,balky,yy???,rebar,?yyy?,abate,ggg?g,abase,ggggg,,,,
28,2021-07-16,marry,True,4,balky,?g??g,party,?gg?g,carny,?gg?g,marry,ggggg,,,,
29,2021-07-17,react,True,4,balky,?y???,irate,?ygyy,tears,yggy?,react,ggggg,,,,
30,2021-07-18,batty,True,3,balky,gg??g,barmy,gg??g,batty,ggggg,,,,,,
31,2021-07-19,pride,True,5,balky,?????,noire,??gyg,prise,ggg?g,price,ggg?g,pride,ggggg,,
32,2021-07-20,floss,True,6,balky,??y??,liter,y????,cools,?ygyg,plods,?gg?g,flows,ggg?g,floss,ggggg
33,2021-07-21,helix,True,5,balky,??g??,cills,?ygy?,folio,??gg?,unlit,??gg?,helix,ggggg,,
34,2021-07-22,croak,True,4,balky,?y?y?,asker,y?y?y,krona,ygg?y,croak,ggggg,,,,
35,2021-07-23,staff,True,6,balky,?y???,irate,??gy?,chant,??g?y,toads,y?g?y,stamp,ggg??,staff,ggggg
36,2021-07-24,paper,True,4,balky,?g???,carat,?gyy?,manor,?g??g,paper,ggggg,,,,
37,2021-07-25,unfed,True,5,balky,?????,noire,y???y,tenet,?yyg?,ended,ygygg,unfed,ggggg,,
38,2021-07-26,whelp,True,5,balky,??y??,liter,y??y?,oleos,?yg??,dwell,?yggy,whelp,ggggg,,
39,2021-07-27,trawl,True,4,balky,?yy??,alert,yy?yy,trail,ggg?g,trawl,ggggg,,,,
40,2021-07-28,outdo,True,4,balky,?????,noire,?y???,scoot,??yyy,outdo,ggggg,,,,
41,2021-07-29,adobe,True,4,balky,yy???,rebar,?yyy?,abate,gyy?g,adobe,ggggg,,,,
42,2021-07-30,crazy,True,5,balky,?y??g,amity,y???g,heady,??g?g,grapy,?gg?g,crazy,ggggg,,
43,2021-07-31,sower,True,6,balky,?????,noire,?g?yy,cored,?gyg?,roves,yg?gy,poser,?gygg,sower,ggggg
44,2021-08-01,repay,True,5,balky,?y??g,amity,y???g,heady,?gy?g,resay,gg?gg,repay,ggggg,,
45,2021-08-02,digit,True,5,balky,?????,noire,??y??,tutti,y?yyy,didst,ggy?g,digit,ggggg,,
46,2021-08-03,crate,True,4,balky,?y???,irate,?gggg,orate,?gggg,crate,ggggg,,,,
47,2021-08-04,cluck,True,4,balky,??yy?,liker,y?y??,knoll,yg?yy,cluck,ggggg,,,,
48,2021-08-05,spike,True,3,balky,???g?,cocks,???gy,spike,ggggg,,,,,,
49,2021-08-06,mimic,True,5,balky,?????,noire,??y??,tutti,????y,discs,?g?y?,mimic,ggggg,,
50,2021-08-07,pound,True,5,balky,?????,noire,yg???,coons,?gyg?,mount,?ggg?,pound,ggggg,,
51,2021-08-08,maxim,True,5,balky,?g???,carat,?g?y?,panda,?g??y,masse,gg???,maxim,ggggg,,
52,2021-08-09,linen,True,4,balky,??y??,liter,gg?g?,lines,gggg?,linen,ggggg,,,,
53,2021-08-10,unmet,True,5,balky,?????,noire,y???y,tenet,yyygg,unset,gg?gg,unmet,ggggg,,
54,2021-08-11,flesh,True,4,balky,??y??,liter,y??y?,oleos,?gg?y,flesh,ggggg,,,,
55,2021-08-12,booby,True,4,balky,g???g,booty,ggg?g,boomy,ggg?g,booby,ggggg,,,,
56,2021-08-13,forth,True,5,balky,?????,noire,?g?y?,cords,?gg??,morph,?gg?g,forth,ggggg,,
57,2021-08-14,first,True,4,balky,?????,noire,??yy?,dirts,?ggyy,first,ggggg,,,,
58,2021-08-15,stand,True,5,balky,?y???,irate,??gy?,chant,??ggy,tuans,y?ggy,stand,ggggg,,
59,2021-08-16,belly,True,2,balky,g?g?g,belly,ggggg,,,,,,,,
60,2021-08-17,ivory,True,4,balky,????g,deity,??y?g,finny,?y??g,ivory,ggggg,,,,
61,2021-08-18,seedy,True,5,balky,????g,deity,yg??g,reedy,?gggg,needy,?gggg,seedy,ggggg,,
62,2021-08-19,print,True,4,balky,?????,noire,y?gy?,grind,?ggg?,print,ggggg,,,,
63,2021-08-20,yearn,True,2,balky,?y??y,yearn,ggggg,,,,,,,,
64,2021-08-21,drain,True,3,balky,?y???,irate,ygg??,drain,ggggg,,,,,,
65,2021-08-22,bribe,True,6,balky,g????,bocce,g???g,beige,gyg?g,brine,ggg?g,bride,ggg?g,bribe,ggggg
66,2021-08-23,stout,True,4,balky,?????,noire,?y???,scoot,g?gyg,stout,ggggg,,,,
